time,GPS_lat,GPS_long,accelx,accely,accelz
1552637000.912825,0,0,0.003708,0.006412,0.101041
1552637000.934572,0,0,0.003733,0.006536,0.100792
1552637000.973160,0,0,0.003684,0.006586,0.100718
1552637001.010354,0,0,0.003857,0.006487,0.101016
1552637001.029251,0,0,0.003906,0.006412,0.100941
1552637001.047494,0,0,0.003708,0.006363,0.100966
1552637001.065516,0,0,0.003807,0.006586,0.100917
1552637001.083713,0,0,0.003807,0.006462,0.101016
1552637001.101684,0,0,0.003733,0.006363,0.100917
1552637001.150810,0,0,0.003634,0.006487,0.100941
1552637001.188669,0,0,0.003881,0.006462,0.100842
1552637001.206676,0,0,0.003881,0.006437,0.100917
1552637001.224515,0,0,0.003807,0.006511,0.100817
1552637001.243010,0,0,0.003684,0.006412,0.100817
1552637001.260916,0,0,0.003733,0.006437,0.100767
1552637001.279152,0,0,0.003807,0.006561,0.101066
1552637001.308882,0,0,0.003783,0.000099,0.100867
1552637001.345321,0,0,0.003956,0.006412,0.101016
1552637001.363341,0,0,0.003832,0.006536,0.100842
1552637001.382865,0,0,0.003733,0.006536,0.100817
1552637001.401258,0,0,0.003783,0.006437,0.100991
1552637001.419137,0,0,0.003807,0.006586,0.100941
1552637001.438675,0,0,0.003807,0.006388,0.100817
1552637001.467757,0,0,0.003832,0.006412,0.100917
1552637001.505453,0,0,0.003857,0.006412,0.100941
1552637001.523525,0,0,0.003733,0.006487,0.100892
1552637001.541607,0,0,0.003956,0.006487,0.100817
1552637001.559506,0,0,0.003807,0.006561,0.101041
1552637001.577573,0,0,0.003857,0.006437,0.100941
1552637001.595710,0,0,0.003807,0.006388,0.100743
